prscrbr_npi,prscrbr_last_org_name,prscrbr_first_name,prscrbr_city,prscrbr_state_abrvtn,prscrbr_state_fips,prscrbr_type,prscrbr_type_src,brnd_name,gnrc_name,tot_clms,tot_30day_fills,tot_day_suply,tot_drug_cst,tot_benes,ge65_sprsn_flag,ge65_tot_clms,ge65_tot_30day_fills,ge65_tot_drug_cst,ge65_tot_day_suply,ge65_bene_sprsn_flag,ge65_tot_benes
1861923906,Bibber,Bernadette,Morristown,NJ,34,Family Practice,Claim-Specialty,Atorvastatin Calcium,Atorvastatin Calcium,23,59.0,1770,323.65,13,#,,,,,#,
1861923906,Bibber,Bernadette,Morristown,NJ,34,Family Practice,Claim-Specialty,Eliquis,Apixaban,12,23.0,690,13908.07,,,12,23.0,13908.07,690,*,
1861923906,Bibber,Bernadette,Morristown,NJ,34,Family Practice,Claim-Specialty,Fluticasone Propionate,Fluticasone Propionate,34,48.8,1464,718.55,11,,18,32.8,434.24,984,*,
1861923906,Bibber,Bernadette,Morristown,NJ,34,Family Practice,Claim-Specialty,Levothyroxine Sodium,Levothyroxine Sodium,14,36.0,1080,218.13,,,14,36.0,218.13,1080,*,
1861923906,Bibber,Bernadette,Morristown,NJ,34,Family Practice,Claim-Specialty,Metformin Hcl,Metformin Hcl,12,24.0,720,96.40,,*,,,,,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Advair Diskus,Fluticasone Propion/Salmeterol,15,15.0,450,6316.16,,,15,15.0,6316.16,450,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Albuterol Sulfate Hfa,Albuterol Sulfate,17,17.7,385,583.14,11,#,,,,,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Alendronate Sodium,Alendronate Sodium,22,41.8,1232,359.44,,,22,41.8,359.44,1232,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Allopurinol,Allopurinol,21,21.0,630,285.53,,,21,21.0,285.53,630,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Alprazolam,Alprazolam,66,66.0,1756,473.36,23,,52,52.0,282.34,1356,#,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Amitriptyline Hcl,Amitriptyline Hcl,12,12.0,360,146.52,,,12,12.0,146.52,360,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Amlodipine Besylate,Amlodipine Besylate,154,248.3,7337,1541.07,35,,154,248.3,1541.07,7337,,35
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Amoxicillin,Amoxicillin,11,11.0,77,43.70,11,,11,11.0,43.70,77,,11
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,14,14.0,112,151.37,14,,14,14.0,151.37,112,,14
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Aripiprazole,Aripiprazole,11,11.0,330,235.00,,,11,11.0,235.00,330,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Atenolol,Atenolol,11,21.0,630,93.79,,,11,21.0,93.79,630,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Atorvastatin Calcium,Atorvastatin Calcium,197,366.0,10877,2772.08,46,,197,366.0,2772.08,10877,,46
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Azithromycin,Azithromycin,17,17.0,83,109.61,15,,17,17.0,109.61,83,,15
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Brimonidine Tartrate,Brimonidine Tartrate,13,13.2,277,923.44,,,13,13.2,923.44,277,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Bupropion Hcl Sr,Bupropion Hcl,18,26.0,705,468.68,,,18,26.0,468.68,705,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Carvedilol,Carvedilol,19,27.0,801,281.03,,,19,27.0,281.03,801,*,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Cefuroxime,Cefuroxime Axetil,19,19.0,156,427.08,16,#,,,,,#,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Cephalexin,Cephalexin,14,14.0,93,115.59,12,#,,,,,#,
1861924565,Huncken,Alyssa,Montville,NJ,34,Family Practice,Claim-Specialty,Chlorhexidine Gluconate,Chlorhexidine Gluconate,21,21.0,314,204.23,,,21,21.0,204.23,314,*,
